.permission.READ_SETTINGS
.permission.RECEIVE_FIRST_LOAD_BROADCAST
.permission.RECEIVE_LAUNCH_BROADCASTS
.permission.WRITE_SETTINGS
MODIFY_PHONE_STATE
abhijith.carboncontacts.permission.C2D_MESSAGE
amirz.rootless.nexuslauncher.permission.READ_SETTINGS
amirz.rootless.nexuslauncher.permission.WRITE_SETTINGS
android.Manifest.permission.OVERRIDE_WIFI_CONFIG
android.hardware.camera.autofocus
android.hardware.screen.portrait
android.hardware.telephony
android.permission
android.permission.ACCESS_ASSISTED_GPS
android.permission.ACCESS_BACKGROUND_LOCATION
android.permission.ACCESS_CACHE_FILESYSTEM
android.permission.ACCESS_CHECKIN_PROPERTIES
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_COARSE_UPDATES
android.permission.ACCESS_DOWNLOAD_MANAGER
android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_GPS
android.permission.ACCESS_INSTANT_APPS
android.permission.ACCESS_LOCATION
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
android.permission.ACCESS_MEDIA_LOCATION
android.permission.ACCESS_MOCK_LOCATION
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_NOTIFICATION_POLICY
android.permission.ACCESS_PERMISSION
android.permission.ACCESS_PROVIDER
android.permission.ACCESS_SUPERUSER
android.permission.ACCESS_SURFACE_FLINGER
android.permission.ACCESS_WIFI_STATE
android.permission.ACCESS_WIMAX_STATE
android.permission.ACCOUNT_MANAGER
android.permission.ACTION_CALL
android.permission.ACTION_HEADSET_PLUG
android.permission.ACTION_MANAGE_OVERLAY_PERMISSION
android.permission.ACTION_PICK_WIFI_NETWORK
android.permission.ACTIVITY_RECOGNITION
android.permission.ALLOCATE_AGGRESSIVE
android.permission.ANSWER_PHONE_CALLS
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.BACKUP
android.permission.BATTERY_STATS
android.permission.BIND_ACCESSIBILITY_SERVICE
android.permission.BIND_APPWIDGET
android.permission.BIND_DEVICE_ADMIN
android.permission.BIND_DIRECTORY_SEARCH
android.permission.BIND_INPUT_METHOD
android.permission.BIND_JOB_SERVICE
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE
android.permission.BIND_REMOTEVIEWS
android.permission.BIND_WALLPAPER
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.BLUETOOTH_PRIVILEGED
android.permission.BODY_SENSORS
android.permission.BROADCAST_SMS
android.permission.BROADCAST_STICKY
android.permission.BROADCAST_WAP_PUSH
android.permission.CALL_PHONE
android.permission.CALL_PRIVILEGED
android.permission.CAMERA
android.permission.CAPTURE_AUDIO_OUTPUT
android.permission.CAPTURE_SECURE_VIDEO_OUTPUT
android.permission.CAPTURE_VIDEO_OUTPUT
android.permission.CHANGE_COMPONENT_ENABLED_STATE
android.permission.CHANGE_CONFIGURATION
android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.permission.CHANGE_NETWORK_STATE
android.permission.CHANGE_OVERLAY_PACKAGES
android.permission.CHANGE_WIFI_MULTICAST_STATE
android.permission.CHANGE_WIFI_STATE
android.permission.CHANGE_WIMAX_STATE
android.permission.CLEAR_APP_CACHE
android.permission.CLEAR_APP_USER_DATA
android.permission.COARSE_FINE_LOCATION
android.permission.CONFIGURE_SIP
android.permission.CONNECTIVITY_INTERNAL
android.permission.CONTROL_LOCATION_UPDATES
android.permission.CREATE_USERS
android.permission.DELETE_CACHE_FILES
android.permission.DELETE_PACKAGES
android.permission.DEVICE_POWER
android.permission.DIAGNOSTIC
android.permission.DISABLE_KEYGUARD
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
android.permission.DUMP
android.permission.EXPAND_STATUS_BAR
android.permission.FACTORY_TEST
android.permission.FAKE_PACKAGE_SIGNATURE
android.permission.FLASHLIGHT
android.permission.FORCE_STOP_PACKAGES
android.permission.FOREGROUND_SERVICE
android.permission.FULLSCREEN
android.permission.GET DETAILED TASKS
android.permission.GET_ACCOUNTS
android.permission.GET_ACCOUNTS_PRIVILEGED
android.permission.GET_APP_OPS_STATS
android.permission.GET_CLIPS
android.permission.GET_INTENT_SENDER_INTENT
android.permission.GET_PACKAGE_SIZE
android.permission.GET_TASKS
android.permission.GET_TOP_ACTIVITY_INFO
android.permission.GLOBAL_SEARCH
android.permission.GRANT_RUNTIME_PERMISSIONS
android.permission.HARDWARE_TEST
android.permission.HW_CAMCFG_SERVICE
android.permission.INJECT_EVENTS
android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS
android.permission.INSTALL_LOCATION_PROVIDER
android.permission.INSTALL_PACKAGES
android.permission.INSTALL_SHORTCUT
android.permission.INSTANT_APP_FOREGROUND_SERVICE
android.permission.INTERACT_ACROSS_USERS
android.permission.INTERACT_ACROSS_USERS_FULL
android.permission.INTERNAL_SYSTEM_WINDOW
android.permission.INTERNET
android.permission.KILL_BACKGROUND_PROCESSES
android.permission.LOCATION_HARDWARE
android.permission.MANAGE_ACCOUNTS
android.permission.MANAGE_ACTIVITY_STACKS
android.permission.MANAGE_APP_OPS_MODES
android.permission.MANAGE_APP_TOKENS
android.permission.MANAGE_DEVICE_ADMINS
android.permission.MANAGE_DOCUMENTS
android.permission.MANAGE_OWN_CALLS
android.permission.MANAGE_ROLLBACKS
android.permission.MANAGE_USB
android.permission.MANAGE_USERS
android.permission.MEDIA_CONTENT_CONTROL
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.MODIFY_OVERLAYS
android.permission.MODIFY_PHONE_STATE
android.permission.MOUNT_FORMAT_FILESYSTEMS
android.permission.MOUNT_UNMOUNT_FILESYSTEMS
android.permission.NFC
android.permission.OVERRIDE_WIFI_CONFIG
android.permission.PACKAGE_USAGE_STATS
android.permission.PACKAGE_VERIFICATION_AGENT
android.permission.PERSISTENT_ACTIVITY
android.permission.PREVENT_POWER_KEY
android.permission.PROCESS_OUTGOING_CALLS
android.permission.QUICKBOOT_POWERON
android.permission.RAISED_THREAD_PRIORITY
android.permission.READ_APP_BADGE
android.permission.READ_CALENDAR
android.permission.READ_CALL_LOG
android.permission.READ_CALL_STATE
android.permission.READ_CELL_BROADCASTS
android.permission.READ_CLIPS
android.permission.READ_CONTACTS
android.permission.READ_DEVICE_CONFIG
android.permission.READ_EXTERNAL_STORAGE
android.permission.READ_FRAME_BUFFER
android.permission.READ_INSTALL_SESSIONS
android.permission.READ_INTERNAL_STORAGE
android.permission.READ_LOGS
android.permission.READ_MEDIA_STORAGE
android.permission.READ_NETWORK_USAGE_HISTORY
android.permission.READ_OWNER_DATA
android.permission.READ_PHONE
android.permission.READ_PHONE_DATA
android.permission.READ_PHONE_STATE
android.permission.READ_PRIVILEGED_PHONE_STATE
android.permission.READ_PROFILE
android.permission.READ_RUNTIME_PROFILES
android.permission.READ_SECURE_SETTINGS
android.permission.READ_SETTINGS
android.permission.READ_SMS
android.permission.READ_SOCIAL_STREAM
android.permission.READ_SYNC_SETTINGS
android.permission.READ_SYNC_STATS
android.permission.READ_USER_DICTIONARY
android.permission.READ_WALLPAPER_INTERNAL
android.permission.REAL_GET_TASKS
android.permission.REBOOT
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.RECEIVE_EMERGENCY_BROADCAST
android.permission.RECEIVE_MMS
android.permission.RECEIVE_SMS
android.permission.RECEIVE_USER_PRESENT
android.permission.RECEIVE_WAP_PUSH
android.permission.RECORD_AUDIO
android.permission.RECORD_VIDEO
android.permission.REMOVE_TASKS
android.permission.REORDER_TASKS
android.permission.REQUEST_DELETE_PACKAGES
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS
android.permission.REQUEST_INSTALL_PACKAGES
android.permission.RESET_BATTERY_STATS
android.permission.RESTART_PACKAGES
android.permission.REVOKE_RUNTIME_PERMISSIONS
android.permission.ROOT
android.permission.SEND_DEVICE_CUSTOMIZATION_READY
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS
android.permission.SEND_SMS
android.permission.SEND_SMS_NO_CONFIRMATION
android.permission.SET_ACTIVITY_WATCHER
android.permission.SET_ALARM
android.permission.SET_ANIMATION_SCALE
android.permission.SET_DEBUG_APP
android.permission.SET_HARMFUL_APP_WARNINGS
android.permission.SET_ORIENTATION
android.permission.SET_PREFERRED_APPLICATIONS
android.permission.SET_PROCESS_LIMIT
android.permission.SET_TIME_ZONE
android.permission.SET_WALLPAPER
android.permission.SET_WALLPAPER_HINTS
android.permission.START_ACTIVITIES_FROM_BACKGROUND
android.permission.START_PRINT_SERVICE_CONFIG_ACTIVITY
android.permission.START_TASKS_FROM_RECENTS
android.permission.STATUS_BAR
android.permission.STOP_APP_SWITCHES
android.permission.STORAGE
android.permission.SUBSCRIBED_FEEDS_READ
android.permission.SUBSCRIBED_FEEDS_WRITE
android.permission.SUBSTITUTE_NOTIFICATION_APP_NAME
android.permission.SUPER_USER
android.permission.SYSTEM_ALERT_WINDOW
android.permission.SYSTEM_OVERLAY_WINDOW
android.permission.TETHER_PRIVILEGE
android.permission.TETHER_PRIVILEGED
android.permission.TRANSMIT_IR
android.permission.UPDATE_APP_OPS_STATS
android.permission.UPDATE_DEVICE_STATS
android.permission.USB_PERMISSION
android.permission.USES_POLICY_FORCE_LOCK
android.permission.USE_BIOMETRIC
android.permission.USE_CREDENTIALS
android.permission.USE_FINGERPRINT
android.permission.USE_FULL_SCREEN_INTENT
android.permission.USE_SIP
android.permission.VIBRATE
android.permission.WAKE_LOCK
android.permission.WRITE_APN_SETTINGS
android.permission.WRITE_CALENDAR
android.permission.WRITE_CALL_LOG
android.permission.WRITE_CLIPS
android.permission.WRITE_CONTACTS
android.permission.WRITE_DEVICE_CONFIG
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.WRITE_INTERNAL_STORAGE
android.permission.WRITE_MEDIA_STORAGE
android.permission.WRITE_OWNER_DATA
android.permission.WRITE_PROFILE
android.permission.WRITE_SECURE_SETTINGS
android.permission.WRITE_SETTINGS
android.permission.WRITE_SMS
android.permission.WRITE_SOCIAL_STREAM
android.permission.WRITE_SYNC_SETTINGS
android.permission.WRITE_USER_DICTIONARY
android.permisson.ACCESS_WIFI_STATE
android.phone.receiveDetailedCallState
android.vending.BILLING
archos.permission.FULLSCREEN.FULL
at.tomtasche.reader.DOCUMENT_CHANGED
ch.deletescape.lawnchair.plah.permission.QSB
ch.deletescape.lawnchair.plah.permission.READ_SETTINGS
ch.deletescape.lawnchair.plah.permission.WRITE_SETTINGS
ch.protonmail.android.permission.C2D_MESSAGE
cn.nubia.launcher.permission.READ_SETTINGS
codes.simen.permission.NOTIFICATIONS
com.BibleQuote.permission.C2D_MESSAGE
com.actionlauncher.playstore.permission.READ_SETTINGS
com.akop.permission.ACCESS_PSN_PROFILE
com.akop.permission.ACCESS_XBL_PROFILE
com.amazon.device.messaging.permission.RECEIVE
com.anddoes.launcher.permission.READ_SETTINGS
com.anddoes.launcher.permission.UPDATE_COUNT
com.andreapivetta.blu.permission.C2D_MESSAGE
com.android.alarm.permission.SET_ALARM
com.android.browser.permission.READ_HISTORY_BOOKMARKS
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS
com.android.chrome.permission.SHOW_COMPLIANCE_SCREEN
com.android.email.permission.ACCESS_PROVIDER
com.android.email.permission.READ_ATTACHMENT
com.android.launcher.permission.CREATE_SHORTCUT
com.android.launcher.permission.INSTALL_SHORTCUT
com.android.launcher.permission.LAUNCHER_ANIMATION
com.android.launcher.permission.READ_SETTINGS
com.android.launcher.permission.UNINSTALL_SHORTCUT
com.android.launcher.permission.WRITE_SETTINGS
com.android.launcher2.permission.READ_SETTINGS
com.android.launcher3.permission.READ_SETTINGS
com.android.launcher3.permission.RECEIVE_FIRST_LOAD_BROADCAST
com.android.launcher3.permission.RECEIVE_LAUNCH_BROADCASTS
com.android.launcher3.permission.WRITE_SETTINGS
com.android.permission.HANDOVER_STATUS
com.android.permission.RECEIVE_LAUNCH_BROADCASTS
